altmetric_id,title,country,tiers
medicalxpress,MedicalXpress,GB,tier3
nea_today,"NEA Today",US,tier3
education_week,"Education Week",US,tier3
the_wilson_quarterly,"The Wilson Quarterly",US,tier2
the_week,"The Week",US,tier2
newser,Newser,US,tier2
tampa_bay_times,"Tampa Bay Times",US,tier2
mother_nature_network,"Mother Nature Network",US,tier3
winona_daily_news,"Winona Daily News",US,tier2
sfgate,SFGate,US,tier1
kgw_com,KGW.com,US,tier2
nashville_city_paper,"Nashville City Paper",US,tier2
pacific_standard,"Pacific Standard",US,tier2
edmonton_journal,"Edmonton Journal",CA,tier2
montreal_gazette,"Montreal Gazette",CA,tier2
financial_times,"Financial Times",GB,tier1
the_sun_uk,"The Sun (UK)",GB,tier1
xinhua,Xinhua,CN,tier1
china_daily,"China Daily",CN,tier1
peoples_daily_china_english,"People's Daily (China - English)",CN,tier1
la_repubblica,"La Repubblica",IT,tier1
el_mundo,"El Mundo",ES,tier1
the_hindu,"The Hindu",IN,tier1
nikkei,Nikkei,JP,tier1
asahi_shimbun,"Asahi Shimbun",JP,tier1
health_service_journal,"Health Service Journal",GB,tier3
thirdage,ThirdAge,US,tier3
science_daily,"Science Daily",US,tier3
mayo_clinic,"Mayo Clinic",US,tier3
dentistry_iq,"Dentistry IQ",US,tier3
kget,KGET,US,tier2
laboratory_journal,"Laboratory Journal",DE,tier3
nanowerk,Nanowerk,US,tier3
phys_org,Phys.org,GB,tier3
c_en,C&EN,US,tier3
innovations_report,"Innovations Report",DE,tier3
biome,Biome,GB,tier3
real_clear_science,"Real Clear Science",US,tier3
discovery_news,"Discovery News",US,tier1
psych_central,"Psych Central",US,tier3
al_jazeera,"Al Jazeera",QA,tier1
new_statesman,"New Statesman",GB,tier1
the_spectator,"The Spectator",GB,tier2
the_raw_story,"The Raw Story",US,tier2
deutche_welle,"Deutche Welle",DE,tier2
the_art_newspaper,"The Art Newspaper",GB,tier3
foreign_policy,"Foreign Policy",US,tier3
environment_news_service,"Environment News Service",US,tier3
newswise,Newswise,US,tier4
ad_hoc_news,"Ad Hoc News",DE,tier2
news_deutschland,"News Deutschland",DE,tier2
basler_zeitung,"Basler Zeitung",CH,tier2
cash,Cash,CH,tier3
scinexx,Scinexx,DE,tier3
berner_zeitung,"Berner Zeitung",CH,tier2
blick,Blick,CH,tier2
der_bund,"Der Bund",CH,tier2
le_temps,"Le Temps",CH,tier2
naturschutz,Naturschutz,CH,tier3
swiss_info,"Swiss Info",CH,tier2
tages_anzeiger,"Tages Anzeiger",CH,tier2
20_minuten,"20 Minuten",CH,tier2
liechtensteiner_volksblatt,"Liechtensteiner Volksblatt",LI,tier2
simons_foundation,"Simons Foundation",US,tier3
inside_climate_news,"Inside Climate News",US,tier3
lincoln_journal_star,"Lincoln Journal Star",US,tier2
edge_org,Edge.org,US,tier3
columbia_journalism_review,"Columbia Journalism Review",US,tier2
medical_research_council,"Medical Research Council",GB,tier3
health_canal,"Health Canal",US,tier3
nhs_choices,"NHS Choices",GB,tier3
digital_journal,"Digital Journal",CA,tier2
palm_beach_daily_news,"Palm Beach Daily News",US,tier2
lactualite,L'actualité,CA,tier2
london_evening_standard,"London Evening Standard",GB,tier2
science_2_0,"Science 2.0",US,tier3
lapresse_ca,Lapresse.ca,CA,tier2
space_safety_magazine,"Space Safety Magazine",NL,tier3
earthsky,EarthSky,US,tier3
der_freitag,"der Freitag",DE,tier2
24_hours,"24 Hours",CA,tier2
air_space,"Air & Space",US,tier3
le_journal_de_montreal,"Le Journal de Montreal",CA,tier2
